t;x;y;v;
0.000;-1.017E-2;0.287;
0.033;-9.218E-3;0.287;3.320E-2
0.067;-8.001E-3;0.287;8.170E-2
0.100;-3.797E-3;0.287;0.130
0.133;5.476E-4;0.285;0.147
0.167;5.777E-3;0.285;0.179
0.200;1.233E-2;0.283;0.220
0.233;2.029E-2;0.282;0.282
0.267;3.089E-2;0.280;0.324
0.300;4.163E-2;0.279;0.352
0.333;5.402E-2;0.277;0.405
0.367;6.814E-2;0.274;0.455
0.400;8.369E-2;0.270;0.499
0.433;0.100;0.266;0.548
0.467;0.119;0.262;0.595
0.500;0.139;0.256;0.660
0.533;0.161;0.249;0.753
0.567;0.186;0.240;0.840
0.600;0.214;0.230;0.903
0.633;0.242;0.218;0.964
0.667;0.272;0.203;1.069
0.700;0.307;0.187;1.184
0.733;0.346;0.174;1.265
0.767;0.387;0.162;1.314
0.800;0.431;0.155;1.340
0.833;0.476;0.155;1.342
0.867;0.520;0.160;1.311
0.900;0.562;0.170;1.248
0.933;0.601;0.181;1.184
0.967;0.637;0.194;1.119
1.000;0.671;0.205;1.040
1.033;0.703;0.215;0.982
1.067;0.734;0.222;0.922
1.100;0.764;0.226;0.887
1.133;0.793;0.228;0.880
1.167;0.822;0.228;0.881
1.200;0.852;0.225;0.910
1.233;0.883;0.222;0.701
1.267;0.898;0.220;0.994
1.300;0.948;0.211;1.256
1.333;0.979;0.198;1.094
1.367;1.017;0.187;1.215
1.400;1.056;0.173;1.273
1.433;1.097;0.160;1.318
1.467;1.142;0.153;1.392
1.500;1.189;0.147;1.400
1.533;1.235;0.151;1.362
1.567;1.280;0.157;1.365
1.600;1.326;0.160;1.351
1.633;1.369;0.166;
