t;x;y;v
0.000;-7.512E-3;0.288;0.000
0.033;-6.841E-3;0.287;2.338E-2
0.067;-6.019E-3;0.287;9.259E-2
0.100;-6.746E-4;0.287;0.148
0.133;3.778E-3;0.286;0.140
0.167;8.538E-3;0.286;0.188
0.200;1.624E-2;0.285;0.246
0.233;2.415E-2;0.282;0.282
0.267;3.318E-2;0.280;0.323
0.300;4.552E-2;0.280;0.378
0.333;5.812E-2;0.277;0.411
0.367;7.238E-2;0.270;0.447
0.400;8.719E-2;0.270;0.495
0.433;0.104;0.266;0.560
0.467;0.123;0.261;0.683
0.500;0.146;0.255;0.716
0.533;0.169;0.248;0.759
0.567;0.193;0.239;0.827
0.600;0.220;0.227;0.910
0.633;0.249;0.214;1.008
0.667;0.281;0.198;1.115
0.700;0.317;0.184;1.190
0.733;0.354;0.169;1.255
0.767;0.396;0.158;1.329
0.800;0.442;0.152;1.363
0.833;0.487;0.152;1.327
0.867;0.530;0.158;1.279
0.900;0.571;0.169;1.261
0.933;0.611;0.181;1.196
0.967;0.646;0.194;1.109
1.000;0.681;0.204;1.037
1.033;0.713;0.212;0.978
1.067;0.744;0.221;0.927
1.100;0.774;0.224;0.903
1.133;0.804;0.225;0.890
1.167;0.833;0.223;0.900
1.200;0.864;0.222;0.919
1.233;0.894;0.218;0.964
1.267;0.927;0.211;1.030
1.300;0.961;0.201;1.086
1.333;0.996;0.189;1.151
1.367;1.033;0.176;1.230
1.400;1.074;0.162;1.317
1.433;1.117;0.151;1.361
1.467;1.162;0.142;1.400
1.500;1.210;0.143;1.413
1.533;1.256;0.148;1.387
1.567;1.302;0.153;1.358
1.600;1.346;0.160;1.289
1.633;1.388;0.163;0.000

